subject,start_s,end_s,video
1,1e-05,19.99901,10
1,10.00001,29.99901,10
1,20.00001,39.999010000000006,10
1,30.00001,49.999010000000006,10
1,40.00001,59.999010000000006,10
1,50.00001,70.00000999999999,10
1,60.00001,80.00000999999999,10
1,70.00101,90.00000999999999,10
1,80.00101,100.00000999999999,10
1,101.52501,121.52400999999999,11
1,111.52501,131.52401,11
1,121.52501,141.52401,11
1,131.52501,151.52401,11
1,141.52501,161.52401,11
1,151.52501,171.52401,11
1,161.52501,181.52401,11
1,171.52501,191.52401,11
1,181.52501,201.52401,11
1,191.52501,211.52401,11
1,221.54701,241.54601,3
1,231.54701,251.54601,3
1,241.54701,261.54601,3
1,251.54701,271.54601,3
1,261.54701,281.54601,3
1,271.54701,291.54601,3
1,281.54701,301.54601,3
1,291.54701,311.54601,3
1,301.54701,321.54601,3
1,311.54701,331.54601,3
1,340.19701000000003,360.19601,11
1,350.19701000000003,370.19601,11
1,360.19701000000003,380.19601,11
1,370.19701000000003,390.19601,11
1,380.19701000000003,400.19601,11
1,390.19701000000003,410.19601,11
1,400.19701000000003,420.19601,11
1,410.19701000000003,430.19601,11
1,420.19701000000003,440.19601,11
1,430.19701000000003,450.19601,11
1,460.19801,480.19701000000003,1
1,470.19801,490.19701000000003,1
1,480.19801,500.19701000000003,1
1,490.19801,510.19701000000003,1
1,500.19801,520.19801,1
1,510.19801,530.19801,1
1,520.19901,540.19801,1
1,530.19901,550.19801,1
1,540.19901,560.19801,1
1,550.19901,570.19801,1
1,560.19901,580.19801,1
1,570.19901,590.19801,1
1,580.19901,600.19801,1
1,590.19901,610.19801,1
1,600.19901,620.19801,1
1,610.19901,630.19801,1
1,620.19901,640.19801,1
1,645.79801,665.79701,11
1,655.79801,675.79701,11
1,665.79801,685.79701,11
1,675.79801,695.79701,11
1,685.79801,705.79701,11
1,695.79801,715.79701,11
1,705.79801,725.79701,11
1,715.79801,735.79701,11
1,725.79801,745.79701,11
1,735.79801,755.79701,11
1,765.79601,785.79501,5
1,775.79601,795.79501,5
1,785.79601,805.79501,5
1,795.79601,815.79501,5
1,805.79601,825.79501,5
1,815.79601,835.79501,5
1,825.79601,845.79501,5
1,835.79601,855.79501,5
1,845.79601,865.79501,5
1,855.79601,875.79501,5
1,865.79601,885.79501,5
1,875.79601,895.79501,5
1,885.79601,905.79501,5
